comment,rating
aplikasi ini lancar,5
mantap sekali,5
"lovyu instagram, klo gaada km ak gbkal bs melihat pacar' ganteng ku ituh",5
bagussss,5
senang saja menggunakannya,5
mantap bro,5
berbagi kegiatan melalu instagram sangat keren..,5
CARA PIN KOMENTAR SENDIRI ITU GIMANA? KOK GAK ADA??,2
bagus,5
"semenjak di perbarui, muncul notifikasi Instagram terus berhenti os android 15",2
Saya suka dengan aplikasih inii,5
"belakangan ini akun saya kehack, sudah kembali pulih, tapi malah log out dari semua device saya. saat mau log in kembali, harus konfirmasi kode lewat wa, tapi tidak ada kode yang masuk. sudah saya coba berkali kali tetap zonkk.",1
ok,5
Bgus wlaupun ada sedkit mslah,5
bagus bermanfaat,5
saya ingin penasaran dengan aplikasi ini,5
"Too many useless updates. The same problem is never finished: i can't add too many things in my story, otherwise it will immediately failed. There's zero information about this bug, and the only text that popped in screen is ""error"". Please fix it, Meta.",5
bagusnya,5
"kenapa skrg ga bisa buka IG.. setiap buka tiba2 apk berhenti sendiri, setiap mau buka tidak bisa dan keluar sendiri. padahal aplikasi yg lain fine fine aja. mohon diperbaiki segera",2
bisa chatingan juga kayak whatsapp seru,5
sangat memuaskan,5
fine,5
kenapa ga bisa live di instagram tolongg kakkk,2
pengalaman sayahp saya pernah dilacak dan saya tidak boleh donlod ig lagi,1
"mudah""an saya suka",5
karna keren,5
i love u,5
"aku suka, bagus",5
bagus,4
catatan aku kok di sebelah mas crush terus siee min🤭🤭,5
good aplikasi,5
memuaskan,5
ok,5
Baik sekali aplikasi ini.,4
sangat cocok untuk saya,5
apk ini sangat bagus akan tetapi efeknya JJ nya kok di hapus.,4
mengobrol dengan asik fitur nya bagus,5
aplikasi yang sangat bagus untuk memosting berbagai kegiatan sehari hari,5
sangat berguna,5
bagus,5
bagus,5
mau di update,2
mantap,5
terima kasih sudah menemani cerita perjalanan kehidupanku.,5
suka lemot di buka apknya kalau pake hp android,3
bagus,4
baguss,5
Good,5
terbaik,5
aku baruh di instagram,5
amazing,5
"aplikasi g jelas, masa reels nya isinya konten dari negara india semua, sudah di komplain pun tetap sama",1
Aplikasinya sangat bagus 👍👍👍,5
bagus,5
selalu jdi opsi untuk menghilangkan rasa suntuk,5
bagus,3
good,5
"ini aneh banget. lagi eror kah? masa tadi abis post cerita, trs ga sengaja pencet buat arsipkan. harus nya kan ada di arsip? kok ini sama sekali ga ada? dan gua coba post foto dengan lagu yg sama. pas gw cek arsipan di tgl 28 april tuh foto nggk masuk sama sekali di situ. pdhl gw dh up lagi loh tapi ga ada. aneh banget!!! awas aja sampai hilang",1
jelek banget apk nya baru bikin akun tapi udah ke banned aja padahal ngga ngapain²,1
buka massage lgsg force close,1
"malah sering bet erorr lagi postingan sama sorotan pada ilang gajelas, perbaiki lah,kalian ini perusahaan besar tapi kualitas makin buruk",1
memang ada memang untuk ada.,5
asyik di tontonnys vidio beragam,5
mantep,5
gooodd,5
kenapa ya padahal sandi dan username udh bener tapi gabisa login,1
kenapa sampai skrang blum ada fitur komentar di story instagram,2
instagram plzzzz return the feeds into squares againnnn,4
bagus,5
Menghargai kebaikan orang lain itu lebih baik daripada membanggakan diri sendiri,5
mantap oi,5
Senang Nyaman Nikmati hidup Bersamaku,4
baguss cuman knp ga bisa ya saya mendaftar pakai google,5
good,5
nice,5
mantap,5
how to get she comeback to me?,5
mantap men,5
"patah"" sejak update mntang"" sy masi andro",2
"Instagram sekarang jelek banget apk ga di pake 3bulan akun langsung di nonaktifkan sepihak Ama Instagram, tambah jelek makin kesini",1
banyak kendala Sangat menganggu,1
PUASSSS,5
"""Terima kasih Instagram, udah ngajarin kalau segala sesuatu yang kita bangun bertahun-tahun bisa dihapus dalam satu klik orang yang bahkan nggak kenal kita. Valuable life lesson.""",1
good,5
